chts_vid,dvmt
10319851,10.252941
10320361,60.850319
10320531,4.626382
10320532,2.346522
10335861,313.359997
10348781,26.34014
10351981,12.018179
10351983,76.20367
10352741,22.106155
10352742,64.938508
10353641,62.577282
10353642,6.348606
10360621,12.306751
10362222,1.572662
10372951,36.321465
10377511,4.352616
10378951,98.899046
10380241,44.999043
10382321,1.138159
10382322,2.856101
10384041,0.670778
10393411,50.447335
10393412,45.563739
10394231,21.119618
10396201,38.506414
10410761,6.984322
10413041,8.552049
10413051,51.235857
10413052,4.338674
10414943,24.892175
10417661,32.088915
10417662,23.315586
10417701,8.542678
10418791,61.737473
10419481,24.068369
10419482,11.7424
10420111,20.925982
10422411,7.752695
10436131,42.081605
10436132,79.39956
10437221,92.906857
10442651,18.828648
10444141,68.56282
10445961,54.796692
10454901,19.239067
10456721,11.326688
10456723,15.665119
10470921,5.827661
10487361,19.503044
10487362,3.312546
10488521,6.087544
10503151,32.514711
10503851,17.358222
10506681,2.18354
10507831,7.613098
10507832,7.051688
10513881,17.586144
10513882,9.401271
10516491,34.98745
10516492,41.59744
10516493,29.578093
10517952,39.566163
10522411,43.024411
10522413,75.338554
10525231,57.935691
10529051,12.175765
10531101,71.573568
10541591,102.358741
10548031,65.356606
10551111,3.80484
10551112,39.531224
10554492,8.626562
10559891,59.152733
10563681,6.427463
10567851,21.493247
10567852,30.222311
10580562,77.650931
10580563,113.183822
10581121,18.218926
10583151,35.268404
10584681,19.139519
10584682,74.648297
10586691,58.61731
10586692,13.335716
10588571,22.17816
10589172,67.282342
10590231,11.047423
10591841,15.779572
10592461,11.243863
10592761,36.628945
10592971,21.948812
10592972,44.732373
10594651,11.669338
10598901,28.321553
10600211,22.628082
10602922,89.509647
10604371,54.382914
10607821,67.15704
10607822,37.991273
10609141,16.669671
10609142,74.472667
10610351,12.559308
10610641,26.542296
10614441,82.61885133
10614442,5.571537
10617421,27.799499
10618311,59.13731
10619571,6.951596
10619572,4.053494
10625671,43.115238
10625672,28.112306
10628271,25.257625
10636481,4.596359
10639521,23.770573
10640661,5.611067
10640741,44.454462
10641571,5.19952
10641572,11.28152
10644581,31.716878
10644941,18.029421
10644942,49.946569
10646441,50.559525
10646442,44.72996
10649391,65.59637
10652391,25.244345
10652392,0.558548
10653431,8.080322
10655892,44.172194
10659041,5.0716
10659042,36.125364
10659291,54.873412
10663372,2.241026
10663373,7.097332
10663751,52.658957
10663752,24.585383
10663801,62.447716
10665411,85.148803
10665412,44.87000633
10666581,78.002998
10666711,7.154619
10667721,10.679226
10670701,9.818706
10671291,9.981079
10671351,1.321862
10672401,29.222942
10672402,16.560302
10673662,25.343107
10673663,5.560972
10674152,8.959331
10677221,14.206541
10677581,57.62836
10678811,49.717826
10678812,243.683186
10679091,40.393397
10679092,7.850519
10679093,36.257057
10679094,4.446667
10679181,41.761175
10679771,15.797818
10679772,138.669026
10684811,18.36467433
10695201,18.611693
10699441,3.313114
10701611,17.499025
10871881,17.445906
10874061,13.962941
10875261,40.806101
10881461,58.871532
10881462,57.822972
10888151,112.27454
10888152,21.51282
10888521,2.928443
10888522,14.828511
10888591,6.250487
10893781,3.286884
10896251,1.139787
10901751,8.059291
10901752,5.248472
10906271,4.601516
10909091,23.802346
10909201,5.203307
10909202,63.919149
10913331,10.406231
10917661,43.839758
10917662,7.70799
10922211,2.226072
10926691,6.43729
10929351,16.846335
10929352,67.213235
10930371,84.324141
10930372,41.455135
10931772,2.7308
10932451,27.399595
10933111,1.910502
10933431,26.948157
10933432,18.8765
10934381,11.702924
10935391,3.085489
10939381,18.770546
10941641,4.198237
10946081,25.735403
10946082,26.208264
10948881,16.462267
10950661,195.383869
10950662,62.211634
10953581,4.411266
10955081,36.303362
10956191,31.287404
10957571,9.674189
10957572,16.493663
10961731,40.587725
10962271,42.178039
10964221,15.636742
10964222,22.248689
10966931,18.276981
10970632,8.159058
10972331,1.39036
10972332,14.915636
10985971,16.778157
10987261,7.192659
10987262,3.737999
10989771,67.734772
10991811,1.245869
11190161,1.797828
11190162,13.114666
11190251,7.533054
11190351,40.297327
11190401,25.829083
11190551,11.45433733
11190552,10.103545
11190561,15.731781
11190562,26.569801
11190701,111.83931
11190702,111.939223
11190961,299.354653
11191371,11.168728
11191372,7.61278
11191531,60.616506
11191811,6.995612
11192021,6.397098
11192071,45.044197
11192271,139.436695
11192272,53.796661
11192311,10.879026
11193141,14.183141
11193521,42.546197
11193601,10.383818
11194331,30.670694
11194332,14.386115
11194341,23.085173
11194532,52.987127
11194631,7.875282
11195441,6.052834
11195731,6.011962
11196071,5.257757
11196262,8.329075
11197391,4.34966
11197731,1.800872
11198212,15.765665
11198213,36.360809
11198391,23.315634
11198421,99.38036
11198911,12.6926
11199172,25.521497
11199732,6.770361
11200711,20.785002
11201211,75.104108
11201212,2.475956
11201631,37.479727
11201632,28.765599
11201633,42.845322
11202001,113.374138
11202002,41.202152
11202251,36.941991
11202252,28.652506
11202441,25.869389
11202621,89.949698
11202622,5.627356
11202641,191.884497
11202642,2.064295
11203111,14.214651
11203642,45.153453
11203681,7.202279
11204211,30.169892
11204212,27.99287
11204213,11.026759
11204214,0.860756
11204241,81.386242
11204412,10.659588
11204511,4.150676
11204512,15.353376
11204591,13.919158
11204592,16.298512
11204911,32.334985
11204912,13.888186
11204971,10.669255
11205281,1.327819
11206212,235.103086
11206721,9.437656
11206811,15.31979
11206812,38.830511
11206971,66.428323
11207761,34.685386
11208111,17.773137
11208114,17.957972
11208131,30.678611
11208201,21.826642
11208202,46.406947
11208351,301.897994
11208352,5.517868
11208491,5.545856
11208492,28.870738
11208572,13.322717
11209211,8.599828
11209351,65.192678
11209352,159.209556
11209411,18.642768
11209691,24.974803
11209692,8.897747
11210241,9.103613
11210761,7.975401
11210771,2.010317
11210772,4.045852
11211052,22.88156
11211251,23.648414
11211331,26.574148
11211531,0.922862
11211751,37.181295
11212171,24.314935
11212611,25.482423
11212631,6.014116
11212901,17.646286
11212911,8.738282
11212952,26.177273
11213101,50.418903
11213541,16.351955
11213542,2.83821
11213581,91.161383
11213582,10.112667
11213961,7.88701
11214431,85.339714
11214482,14.271709
11214483,123.308996
11215621,11.718908
11215921,2.671028
11216061,19.873916
11216062,44.820462
11216081,19.301393
11216591,4.299217
11216841,0.936926
11216941,2.831895
11217521,23.41168
11217522,34.991474
11217712,16.518416
11218051,18.98225
11218053,37.252856
11218401,17.901346
11218451,14.039218
11218452,4.665171
11218511,14.030887
11218512,9.580263
11218621,32.01331
11218921,31.551228
11218922,32.839493
11219011,12.578223
11219012,2.98623
11219691,23.412018
11220241,19.2638
11220242,14.335901
11220243,17.318014
11220591,4.553152
11220592,8.542042
11221121,23.16644
11221151,14.987634
11221153,24.917752
11221191,5.038938
11221192,149.119638
11222092,29.48115
11222291,2.258832
11222482,117.805282
11223021,27.866853
11223022,3.908378
11223191,29.644682
11223201,44.041436
11223351,138.731223
11223352,43.784195
11223711,22.938989
11223941,4.656491
11224161,17.223678
11224162,35.952242
11224891,19.212445
11224892,27.054199
11225873,73.580037
11226391,36.193042
11226901,88.11243633
11226991,38.065936
11227511,18.373084
11227581,51.1914
11227582,4.700622
11227771,26.397681
11228611,2.795792
11228612,4.707416
11229631,14.128458
11229632,49.999812
11230041,21.775393
11230091,5.871077
11230251,11.897138
11231111,2.978656
11231112,23.113688
11231241,35.659388
11231341,79.155716
11231421,10.077002
11231422,27.222221
11231621,4.839877
11231622,25.728521
11231901,1.679694
11231972,11.769348
11232781,40.894684
11232971,46.417358
11232972,93.596062
11233071,2.79638
11233072,14.242151
11233131,69.621925
11233802,17.976819
11233803,9.99068
11234081,2.218719
11234082,49.953961
11235051,30.526615
11235052,25.252505
11235072,76.648853
11235073,42.957785
11235211,138.26756
11235872,62.272001
11236231,21.871457
11236581,2.003315
11237311,14.679424
11237312,68.930046
11237313,45.749309
11237981,3.277416
11237982,2.349249
11238071,4.758953
11238081,29.350444
11238181,5.867525
11238642,7.871018
11238711,20.53659
11238712,2.370704
11239061,14.387811
11239062,31.874953
11239201,178.252942
11239581,31.0389
11239582,10.290427
11239921,39.629061
11241281,20.770304
11241282,14.830863
11241521,10.284811
11241681,0.992426
11241881,33.288955
11241882,19.356098
11241901,9.332183
11242021,14.002355
11242022,72.694508
11242181,12.307584
11242183,8.1464
11242701,35.354967
11242703,10.300073
11242711,3.074407
11242731,45.661194
11242931,6.652933
11243151,11.334838
11243261,11.336473
11243262,23.60438
11244202,5.409355
11244421,9.974251
11244531,63.554265
11244532,45.661027
11244591,3.690002
11244741,8.733492
11244742,6.803573
11245551,15.474964
11245841,28.767707
