day_of_week,urban,rate,shape
weekday,rural,0.027759819633972,1.15534160157298
weekday,urban,0.0330806957454144,1.00417902841199
weekend,rural,0.0232680385220553,0.962875984890835
weekend,urban,0.0244728990127625,0.795052317293898
